Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,207.535,-103.1382,90.0,top
C1,184.226,-102.9102,90.0,top
C2,186.42,-102.9402,90.0,top
C3,211.1896,-85.974,90.0,top
C4,210.32,-104.4832,90.0,top
C5,199.431,-106.3712,0.0,top
C6,183.63,-86.4752,180.0,top
C7,183.65,-91.3652,180.0,top
D1,192.791,-103.1532,90.0,top
D2,189.705,-83.5002,180.0,top
J1,191.015,-117.2506,90.0,top
J2,194.608,-89.6838,180.0,top
J3,190.975,-74.385,90.0,top
J4,202.6108,-89.648,180.0,top
J5,198.6212,-89.6838,180.0,top
JUSB1,222.495,-95.1982,90.0,top
R1,215.995,-91.1882,90.0,top
R2,216.005,-99.1282,270.0,top
R3,211.1796,-89.744,270.0,top
R4,201.491,-103.0812,90.0,top
R5,200.461,-100.4512,0.0,top
R6,187.22,-91.4352,180.0,top
R7,187.95,-88.8752,270.0,top
R8,186.375,-83.5352,0.0,top
RESET1,208.2646,-87.359,90.0,top
U1,163.88,-95.6332,90.0,top
U2,215.76,-95.9032,0.0,top
U3,185.32,-88.9152,90.0,top
U4,199.156,-103.0512,90.0,top
